Date,Open,High,Low,Close,Adj Close,Volume
2008-09-26,7.83333,7.83333,7.58667,7.72,4.2379690000000005,1680339.0
2008-09-29,7.66667,7.763330000000001,7.21667,7.26,3.985447,2702439.0
2008-09-30,7.2666699999999995,7.46333,7.0,7.08333,3.888463,5443728.0
2008-10-01,7.0,7.0633300000000006,6.37,6.4766699999999995,3.5554309999999996,5853093.0
2008-10-02,6.526669999999999,6.526669999999999,6.0166699999999995,6.07,3.332185,6685581.0
2008-10-03,6.03667,6.15,5.91,6.0566699999999996,3.324868,2690115.0
2008-10-06,5.933330000000001,5.95333,5.37333,5.66667,3.110774,5317065.0
2008-10-07,5.7666699999999995,5.83,5.28667,5.33333,2.9277830000000002,4766319.0
2008-10-08,5.08667,5.46,4.856669999999999,5.0233300000000005,2.757606,6403875.0
2008-10-09,5.03667,5.433330000000001,4.7733300000000005,4.92,2.700882,3270912.0
2008-10-10,4.67333,4.91667,4.27,4.48,2.459339,5551089.0
2008-10-13,4.8,5.393330000000001,4.71,5.263330000000001,2.8893560000000003,4436652.0
2008-10-14,5.7666699999999995,5.78333,5.29,5.49667,3.01745,4103181.0
2008-10-15,5.77,5.7733300000000005,5.09,5.1933300000000004,2.8509290000000003,4214649.0
2008-10-16,5.0,5.32667,4.61667,4.74333,2.603897,4119756.0
2008-10-17,5.0,5.0,4.63667,4.7266699999999995,2.594751,3406581.0
2008-10-20,4.91,4.94667,4.66667,4.92667,2.704544,2133213.0
2008-10-21,5.23,5.23,4.683330000000001,4.893330000000001,2.686241,2956728.0
2008-10-22,4.75667,4.86333,4.40667,4.5166699999999995,2.47947,2603868.0
2008-10-23,4.53333,4.53333,4.1,4.41667,2.4245740000000002,2814003.0
2008-10-24,4.2666699999999995,4.28333,3.9466699999999997,4.103330000000001,2.2525630000000003,2734491.0
2008-10-27,3.9833300000000005,3.99,3.6733300000000004,3.6733300000000004,2.01651,3730188.0
2008-10-28,3.77,3.8633300000000004,3.5366699999999995,3.8033300000000003,2.087875,3274866.0
2008-10-29,4.0233300000000005,4.22,3.9833300000000005,4.16,2.283672,4156881.0
2008-10-30,4.316669999999999,4.43,4.13333,4.40667,2.419085,3879267.0
2008-10-31,4.44,4.59,4.28333,4.53,2.486787,2174151.0
2008-11-03,4.62667,4.63667,4.36667,4.5,2.4703180000000002,2778627.0
2008-11-04,4.50667,5.0,4.50667,4.96,2.72284,2861028.0
2008-11-05,5.0,5.00667,4.7,4.84,2.656965,3965532.0
2008-11-06,4.7333300000000005,4.83,4.433330000000001,4.45667,2.446532,3870495.0
2008-11-07,4.42667,4.63667,4.33667,4.44,2.4373810000000002,2280021.0
2008-11-10,4.59667,4.8133300000000006,4.513330000000001,4.646669999999999,2.5508349999999997,1760745.0
2008-11-11,4.63333,4.66,4.19,4.28,2.349548,1766331.0
2008-11-12,4.20333,4.21333,3.93333,4.04,2.217797,2623323.0
2008-11-13,4.0233300000000005,4.24,3.9633300000000005,4.0166699999999995,2.20499,2340570.0
2008-11-14,4.2,4.23,3.67,3.76,2.064088,2885082.0
2008-11-17,3.72667,3.92,3.68333,3.74,2.053109,2461713.0
2008-11-18,3.7133300000000005,3.85,3.60667,3.7433300000000003,2.054937,2480535.0
2008-11-19,3.7766699999999997,3.7766699999999997,3.26333,3.33,1.828036,2915343.0
2008-11-20,3.26333,3.35,3.14667,3.16667,1.738374,3413652.0
2008-11-21,3.2,3.3466699999999996,3.07333,3.1,1.701775,3378543.0
2008-11-24,3.26333,3.4933300000000003,3.23,3.3,1.811567,3355293.0
2008-11-25,3.34,3.52333,3.33,3.3666699999999996,1.848166,4232577.0
2008-11-26,3.36,3.68667,3.3266699999999996,3.35333,1.840843,3853353.0
2008-11-27,3.37,3.55,3.3666699999999996,3.45,1.8939110000000001,2620251.0
2008-11-28,3.45,3.5,3.22667,3.2833300000000003,1.802416,2204049.0
2008-12-01,3.43333,3.4666699999999997,3.2833300000000003,3.31333,1.8188849999999999,2427516.0
2008-12-02,3.22,3.4966699999999995,3.21,3.45,1.8939110000000001,3253245.0
2008-12-03,3.4666699999999997,3.4666699999999997,3.32,3.4233300000000004,1.87927,2458680.0
2008-12-04,3.4,3.6566699999999996,3.4,3.4833300000000005,1.9122080000000001,2335209.0
2008-12-05,3.47667,3.5,3.11667,3.15,1.729223,2807265.0
2008-12-08,3.33,3.43333,3.17,3.4266699999999997,1.881104,2835246.0
2008-12-09,3.4266699999999997,3.52333,3.33333,3.4966699999999995,1.919531,2470692.0
2008-12-10,3.48,3.5966699999999996,3.4266699999999997,3.5333300000000003,1.939656,1364916.0
2008-12-11,3.54333,3.55,3.37,3.55,1.948807,2182185.0
2008-12-12,3.33667,3.4,3.17667,3.3033300000000003,1.813395,3300057.0
2008-12-15,3.34,3.395,3.25,3.29967,1.8113860000000002,1229853.0
2008-12-16,3.2833300000000003,3.5166699999999995,3.261,3.44167,1.8893380000000002,2395575.0
2008-12-17,3.52,3.5483300000000004,3.41,3.51,1.9268490000000003,1774263.0
2008-12-18,3.3633300000000004,3.8,3.35,3.75,2.058599,3802068.0
2008-12-19,3.7466699999999995,3.9033300000000004,3.43,3.5316699999999996,1.9387450000000002,3963597.0
2008-12-22,3.4866699999999997,3.60333,3.41667,3.58333,1.9671040000000002,3506889.0
2008-12-23,3.59,3.59,3.41833,3.465,1.902145,2551539.0
2008-12-24,3.5166699999999995,3.5316699999999996,3.37,3.41667,1.875614,190728.0
2008-12-29,3.4283300000000003,3.5,3.3683300000000003,3.47,1.9048900000000002,793740.0
2008-12-30,3.4533300000000002,3.4866699999999997,3.33333,3.45,1.8939110000000001,1255944.0
2008-12-31,3.48167,3.6,3.43333,3.52,1.9323380000000001,433434.0
